Date,Forecast,Lower,Upper,Dia_horizonte,Ancho_IC,Ancho_IC_%
2024-02-10,457.0098201678272,308.8430842555804,605.176556080074,163,296.3334718244936,64.84181712236979
2024-02-11,457.0098201678272,308.3964065264312,605.6232338092232,164,297.226827282792,65.03729551667877
2024-02-12,457.0098201678272,307.95106733053876,606.0685730051156,165,298.1175056745768,65.23218813221551
2024-02-13,457.0098201678272,307.5070547062244,606.51258562943,166,299.0055309232056,65.42650020373787
2024-02-14,457.0098201678272,307.06435686891245,606.9552834667419,167,299.89092659782943,65.62023688849855
2024-02-15,457.0098201678272,306.6229622074809,607.3966781281734,168,300.77371592069255,65.8134032678422
2024-02-16,457.0098201678272,306.18285928070816,607.8367810549462,169,301.65392177423803,66.00600434876038
2024-02-17,457.0098201678272,305.7440368138125,608.2756035218418,170,302.53156670802935,66.19804506540603
2024-02-18,457.0098201678272,305.3064836950822,608.7131566405722,171,303.40667294548996,66.38953028056821
2024-02-19,457.0098201678272,304.87018897259236,609.149451363062,172,304.2792623904696,66.58046478710884
2024-02-20,457.0098201678272,304.43514185100673,609.5844984846476,173,305.1493566336409,66.77085330936242
2024-02-21,457.0098201678272,304.00133168846077,610.0183086471936,174,306.01697695873287,66.96070050450001
2024-02-22,457.0098201678272,303.5687479935244,610.4508923421299,175,306.8821443486055,67.15001096385839
2024-02-23,457.0098201678272,303.1373804222419,610.8822599134124,176,307.74487949117054,67.33878921423565
2024-02-24,457.0098201678272,302.70721877524556,611.3124215604088,177,308.6052027851632,67.52703971915408
2024-02-25,457.0098201678272,302.2782529949419,611.7413873407124,178,309.4631343457705,67.71476688009172
2024-02-26,457.0098201678272,301.85047316276825,612.1691671728861,179,310.31869401011784,67.90197503768297
2024-02-27,457.0098201678272,301.42386949651666,612.5957708391377,180,311.171901342621,68.08866847288965
